x	mu	sample1	sample2	sample3	sample4	sample5
11.2500000000	0.0000000000	-0.7527102300	-0.2669968890	0.2067631070	0.0575337377	-1.3682564400
11.3000000000	0.0000000000	-0.7212516800	-0.2176247970	0.2823389040	0.1162596310	-1.4768216100
11.3500000000	0.0000000000	-0.6888227000	-0.1657768490	0.3547066160	0.1756607240	-1.5880195600
11.4000000000	0.0000000000	-0.6556698800	-0.1117359670	0.4235493580	0.2357021020	-1.7012331900
11.4500000000	0.0000000000	-0.6220255600	-0.0558095549	0.4885717510	0.2963235770	-1.8158388000
11.5000000000	0.0000000000	-0.5881040300	0.0016737139	0.5495034020	0.3574403300	-1.9312122600
11.5500000000	0.0000000000	-0.5540979100	0.0603657585	0.6060991650	0.4189413510	-2.0467329000
11.6000000000	0.0000000000	-0.5201738700	0.1199009530	0.6581407380	0.4806898780	-2.1617871800
11.6500000000	0.0000000000	-0.4864704000	0.1798995050	0.7054379360	0.5425229870	-2.2757730700
11.7000000000	0.0000000000	-0.4530944600	0.2399710590	0.7478305530	0.6042535830	-2.3881051000
11.7500000000	0.0000000000	-0.4201191600	0.2997169620	0.7851877150	0.6656710310	-2.4982158300
11.8000000000	0.0000000000	-0.3875843400	0.3587338020	0.8174113170	0.7265438380	-2.6055609400
11.8500000000	0.0000000000	-0.3554934600	0.4166178710	0.8444341510	0.7866202710	-2.7096210600
11.9000000000	0.0000000000	-0.3238142600	0.4729677660	0.8662221780	0.8456326770	-2.8099054700
11.9500000000	0.0000000000	-0.2924794400	0.5273889350	0.8827742920	0.9032999900	-2.9059547200
12.0000000000	0.0000000000	-0.2613892700	0.5794980860	0.8941228330	0.9593291190	-2.9973420800
